Datum,Verzija,Modra_Stran,Rdeca_Stran,Zmagovalec,Modri_Igralci,Rdeci_Igralci,Liga
2022-08-27,12.15,Misfits Gaming,G2 Esports,G2 Esports,"['Irrelevant', ' Zanzarah', ' Vetheo', ' Neon', ' Mersa']","['BrokenBlade', ' Jankos', ' caPs', ' Flakked', ' Targamas']",LEC
2022-08-27,12.15,G2 Esports,Misfits Gaming,G2 Esports,"['BrokenBlade', ' Jankos', ' caPs', ' Flakked', ' Targamas']","['Irrelevant', ' Zanzarah', ' Vetheo', ' Neon', ' Mersa']",LEC
2022-08-27,12.15,Misfits Gaming,G2 Esports,Misfits Gaming,"['Irrelevant', ' Zanzarah', ' Vetheo', ' Neon', ' Mersa']","['BrokenBlade', ' Jankos', ' caPs', ' Flakked', ' Targamas']",LEC
2022-08-27,12.15,G2 Esports,Misfits Gaming,G2 Esports,"['BrokenBlade', ' Jankos', ' caPs', ' Flakked', ' Targamas']","['Irrelevant', ' Zanzarah', ' Vetheo', ' Neon', ' Mersa']",LEC
2022-08-26,12.15,MAD Lions,Rogue (European Team),Rogue (European Team),"['Armut', ' Elyoya', ' Nisqy', ' UNF0RGIVEN', ' Kaiser']","['Odoamne', ' Malrang', ' Larssen', ' Comp', ' Trymbi']",LEC
2022-08-26,12.15,Rogue (European Team),MAD Lions,Rogue (European Team),"['Odoamne', ' Malrang', ' Larssen', ' Comp', ' Trymbi']","['Armut', ' Elyoya', ' Nisqy', ' UNF0RGIVEN', ' Kaiser']",LEC
2022-08-26,12.15,MAD Lions,Rogue (European Team),MAD Lions,"['Armut', ' Elyoya', ' Nisqy', ' UNF0RGIVEN', ' Kaiser']","['Odoamne', ' Malrang', ' Larssen', ' Comp', ' Trymbi']",LEC
2022-08-26,12.15,MAD Lions,Rogue (European Team),Rogue (European Team),"['Armut', ' Elyoya', ' Nisqy', ' UNF0RGIVEN', ' Kaiser']","['Odoamne', ' Malrang', ' Larssen', ' Comp', ' Trymbi']",LEC
2022-08-26,12.15,Rogue (European Team),MAD Lions,MAD Lions,"['Odoamne', ' Malrang', ' Larssen', ' Comp', ' Trymbi']","['Armut', ' Elyoya', ' Nisqy', ' UNF0RGIVEN', ' Kaiser']",LEC
2023-03-27,13.4,Team Heretics,MAD Lions,MAD Lions,"['Evi', ' Jankos', ' Ruby', ' Jackspektra', ' Mersa']","['Chasy', ' Elyoya', ' Nisqy', ' Carzzy', ' Hylissang']",LEC
2023-03-27,13.4,KOI (Spanish Team),Team Vitality,Team Vitality,"['Szygenda', ' Malrang', ' Larssen', ' Comp', ' Trymbi']","['Photon', ' Bo', ' Perkz', ' Upset', ' Kaiser']",LEC
2023-03-27,13.4,MAD Lions,G2 Esports,G2 Esports,"['Chasy', ' Elyoya', ' Nisqy', ' Carzzy', ' Hylissang']","['BrokenBlade', ' Yike', ' Caps', ' Hans Sama', ' Mikyx']",LEC
